,open,high,low,close,volume
2023-07-28 09:00:00,8.89,16.8,8.78,15.7,24869096468.06131
2023-07-29 09:00:00,15.6,25.1,14.5,24.0,20552341346.694557
2023-07-30 09:00:00,23.9,31.7,20.7,24.6,16726229417.228231
2023-07-31 09:00:00,24.6,27.6,22.2,25.2,6595197406.737866
2023-08-01 09:00:00,25.1,26.4,22.6,23.6,3347492455.274629
2023-08-02 09:00:00,23.6,24.1,19.8,20.6,1830706974.8551545
2023-08-03 09:00:00,20.5,30.2,18.5,30.1,10956772128.0832
2023-08-04 09:00:00,30.0,43.5,17.5,20.0,32968018468.385662
2023-08-05 09:00:00,20.1,21.0,18.0,18.8,8386014257.317679
2023-08-06 09:00:00,18.8,20.0,18.2,18.6,4748345601.65163
2023-08-07 09:00:00,18.6,19.2,15.9,17.1,3236352206.8647456
2023-08-08 09:00:00,17.1,17.7,15.5,16.4,1890646753.3821874
2023-08-09 09:00:00,16.4,16.7,15.8,16.2,1341011520.4014516
2023-08-10 09:00:00,16.2,16.2,14.9,15.6,1060483205.3127232
2023-08-11 09:00:00,15.6,17.5,15.5,17.4,4772583261.81385
2023-08-12 09:00:00,17.3,17.4,16.3,16.5,1771113408.4219522
2023-08-13 09:00:00,16.5,16.9,16.0,16.1,1261974700.6773436
2023-08-14 09:00:00,16.1,16.5,15.6,16.0,839082081.2879285
2023-08-15 09:00:00,16.0,16.2,15.0,15.3,798340721.0378563
2023-08-16 09:00:00,15.3,15.5,12.5,12.9,3519315264.6335893
2023-08-17 09:00:00,12.9,13.0,10.7,11.2,2184089993.0274143
2023-08-18 09:00:00,11.2,13.8,10.9,12.8,6594916403.418533
2023-08-19 09:00:00,12.8,13.7,12.4,12.8,3503482805.2755613
2023-08-20 09:00:00,12.9,13.3,11.9,12.1,1723033666.6538641
2023-08-21 09:00:00,12.1,12.4,11.5,11.9,877691022.0330113
2023-08-22 09:00:00,11.8,11.9,11.1,11.4,533132823.2621241
2023-08-23 09:00:00,11.4,11.6,11.0,11.6,409030475.08324164
2023-08-24 09:00:00,11.5,12.1,11.4,11.8,1330231656.0648384
2023-08-25 09:00:00,11.8,11.9,11.0,11.3,627872587.9355996
2023-08-26 09:00:00,11.4,11.7,11.2,11.4,407340819.1532308
2023-08-27 09:00:00,11.4,12.2,11.4,11.8,1422152061.0632513
2023-08-28 09:00:00,11.8,11.9,11.1,11.4,580353982.8729889
2023-08-29 09:00:00,11.4,12.0,8.52,8.69,8213638026.210493
2023-08-30 09:00:00,8.68,8.77,7.8,8.0,4421175435.071237
2023-08-31 09:00:00,8.0,8.49,7.71,7.93,4009608538.4069905
2023-09-01 09:00:00,7.93,7.99,7.12,7.34,1675462533.6432655
2023-09-02 09:00:00,7.34,7.54,6.61,6.9,2403670549.1252694
2023-09-03 09:00:00,6.9,6.95,6.35,6.5,2076308192.4872591
2023-09-04 09:00:00,6.5,8.42,6.44,8.23,15156296313.086409
2023-09-05 09:00:00,8.23,8.32,7.42,7.8,3087080576.660051
